,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind
355,punta alta,0,AR,1573969610,64,68.0,-27.46,-55.82,8.05
356,invermere,100,CA,1573969611,93,26.33,50.51,-116.03,4.85
357,arlit,46,NE,1573969611,15,76.44,18.74,7.39,4.36
358,la rioja,84,AR,1573969611,57,68.9,-29.41,-66.86,5.68
359,ternate,75,PH,1573969611,70,89.01,14.29,120.72,8.05
360,cockburn town,45,TC,1573969430,71,81.61,21.46,-71.14,8.59
361,balabac,80,PH,1573969611,64,85.48,7.99,117.06,5.19
362,broome,79,GB,1573969612,87,43.0,52.47,1.45,3.36
363,bergama,68,TR,1573969612,82,59.0,39.12,27.18,4.7
364,hervey bay,0,AU,1573969612,62,84.2,-25.3,152.85,26.4
365,pelym,17,RU,1573969612,91,20.55,61.01,62.0,4.52
366,sioux lookout,90,CA,1573969612,69,37.4,50.1,-91.92,9.17
367,ambilobe,50,MG,1573969612,50,90.63,-13.19,49.05,9.31
368,belaya gora,100,RU,1573969613,98,-4.13,68.54,146.19,4.56
369,chadiza,100,ZM,1573969613,65,76.98,-14.06,32.43,2.55
370,dustlik,0,UZ,1573969613,28,50.25,40.53,68.03,4.34
371,ust-kuyga,98,RU,1573969613,99,-15.66,70.0,135.55,5.03
372,poso,23,ID,1573969613,67,77.72,-1.4,120.75,3.51
373,karasuk,100,RU,1573969613,90,20.16,53.73,78.03,12.28
374,touros,20,BR,1573969613,83,75.2,-5.2,-35.46,3.36
375,maine-soroa,64,NE,1573969614,23,77.83,13.21,12.02,8.52
376,richards bay,54,ZA,1573969614,76,69.82,-28.77,32.06,8.41
377,morros,20,BR,1573969614,78,80.6,-2.87,-44.04,10.29
378,wewak,96,PG,1573969614,82,78.39,-3.55,143.63,3.56
379,houma,100,CN,1573969614,44,41.63,35.63,111.36,23.4
380,vostochnyy,90,RU,1573969614,100,39.2,55.82,37.87,11.18
381,kabanjahe,40,ID,1573969602,79,86.0,3.1,98.49,6.93
382,skegness,100,GB,1573969615,100,46.4,53.14,0.34,1.12
383,krivosheino,100,RU,1573969615,92,13.33,57.34,83.93,12.3
